생태구명	정점명	관측년도	관측월	조사일자	날씨	수심	투명도(m)	수온(℃) 표층	수온(℃) 저층	염분 표층	염분 저층	수소이온농도 표층	수소이온농도 저층	용존산소량(㎎/L) 표층	용존산소량(㎎/L) 저층	화학적산소요구량(㎎/L) 표층	화학적산소요구량(㎎/L) 저층	암모니아성질소(㎍/L) 표층	암모니아성질소(㎍/L) 저층	아질산성질소(㎍/L) 표층	아질산성질소(㎍/L) 저층	질산성질소(㎍/L) 표층	질산성질소(㎍/L) 저층	용존무기질소(㎍/L) 표층	용존무기질소(㎍/L) 저층	총질소(㎍/L) 표층	총질소(㎍/L) 저층	용존무기인(㎍/L) 표층	용존무기인(㎍/L) 저층	총인(㎍/L) 표층	총인(㎍/L) 저층	규산규소(㎍/L) 표층	규산규소(㎍/L) 저층	부유물질(㎎/L) 표층	부유물질(㎎/L) 저층	클로로필a(㎍/L) 표층	클로로필a(㎍/L) 저층	WQI등급
대한해협	부산3	2020	11	2020-11-16	맑음	9	3.5	16.86	16.93	33.29	33.37	8.30	8.29	8.12	7.87	1.90	1.45	14.90	12.80	3.20	3.00	54.70	53.80	72.80	69.60			8.60	9.00	22.80		184.40	198.10	4.70	5.60	8.00	8.36	2
대한해협	부산4	2020	11	2020-11-15	맑음	13	3.5	16.84	16.76	33.09	33.21	8.28	8.28	8.17	7.89	1.30	1.35	31.40	14.00	4.00	3.60	46.30	57.10	81.70	74.60			14.00	12.30	27.90		212.10	215.60	5.10	8.00	4.96	5.84	1
대한해협	부산5	2020	11	2020-11-15	구름조금	22	3.0	16.93	16.74	33.18	33.53	8.22	8.19	7.77	6.89	1.32	1.46	6.50	6.00	3.60	3.90	48.80	84.30	58.90	94.20			10.20	14.90	25.90		233.50	336.60	7.20	22.00	6.56	5.20	2
대한해협	부산6	2020	11	2020-11-15	구름조금	25	2.5	16.86	16.41	33.21	33.82	8.21	8.14	7.92	6.24	1.48	1.68	6.60	4.00	3.70	3.40	50.30	120.90	60.70	128.30			9.90	20.60	24.00		234.90	458.10	5.30	36.20	6.04	4.16	3
대한해협	부산7	2020	11	2020-11-15	맑음	36	3.0	16.99	15.68	33.29	34.27	8.30	8.16	7.94	6.61	1.25	1.50	4.30	2.90	2.30	2.80	43.30	180.20	49.90	185.90			8.50	30.20	23.70		202.40	619.90	9.30	43.60	5.20	2.08	2
대한해협	부산8	2020	11	2020-11-15	맑음	8	3.0	16.76	16.70	33.03	33.05	8.30	8.29	8.42	8.03	1.41	1.55	30.80	34.00	4.00	4.80	40.10	46.30	74.90	85.00			13.70	15.10	29.90		196.60	214.90	5.90	8.30	5.48	5.32	1
대한해협	부산9	2020	11	2020-11-15	구름조금	14	3.5	17.00	16.88	33.12	33.31	8.28	8.28	8.21	7.60	1.33	1.48	9.40	4.70	2.70	3.10	30.40	48.70	42.50	56.50			7.30	9.30	21.70		173.00	217.20	6.00	8.20	5.24	6.04	1
대한해협	부산10	2020	11	2020-11-15	구름조금	13	4.0	17.82	17.54	33.06	33.11	8.18	8.20	8.02	7.83	1.55	1.43	16.80	14.40	5.50	5.30	58.80	59.60	81.10	79.20			13.90	13.70	28.70		312.50	296.00	22.30	23.20	2.38	3.22	1
대한해협	부산11	2020	11	2020-11-15	구름조금	11	3.0	16.66	16.67	33.11	33.11	8.17	8.19	7.82	8.11	1.46	1.46	7.70	7.40	3.70	3.60	44.40	44.30	55.70	55.30			9.70	9.80	25.60		214.00	213.60	6.10	7.10	3.32	5.38	1
대한해협	부산12	2020	11	2020-11-16	구름조금	10	3.5	16.63	16.16	33.51	33.88	8.17	8.14	7.37	6.24	1.66	1.60	9.30	6.40	2.80	3.00	66.50	117.70	78.60	127.00			12.90	20.10	18.30		278.10	430.90	3.70	5.30	3.62	3.70	3
대한해협	부산13	2020	11	2020-11-16	맑음	7	3.0	16.86	16.87	33.21	33.23	8.28	8.29	8.20	8.19	1.81	1.61	21.00	19.50	3.50	3.60	60.90	59.80	85.40	82.90			8.60	8.40	21.90		175.00	174.00	6.40	6.60	9.44	7.28	2
대한해협	부산14	2020	11	2020-11-16	맑음	4	3.0	17.00	17.00	33.33	33.35	8.28	8.27	7.88	7.78	1.60	1.61	42.20	40.00	5.60	4.90	107.50	89.40	155.30	134.30			13.30	12.50	29.90		216.70	210.60	5.20	7.20	8.52	8.20	2
대한해협	부산15	2020	11	2020-11-16	맑음	22	4.0	16.86	16.45	33.37	33.70	8.23	8.20	7.66	6.66	1.22	1.58	5.50	6.80	2.60	3.10	50.80	96.60	58.80	106.60			8.60	16.70	22.40		208.10	360.20	5.50	21.70	5.08	4.56	2
대한해협	부산16	2020	11	2020-11-16	맑음	15	4.0	16.87	16.76	33.26	33.44	8.27	8.27	7.87	7.45	1.71	1.56	9.90	6.70	2.60	2.50	55.10	57.40	67.50	66.60			8.70	9.90	22.90		196.80	226.00	4.40	8.40	5.24	5.08	1
대한해협	부산17	2020	11	2020-11-16	맑음	13	3.5	16.86	16.85	33.37	33.42	8.25	8.22	7.54	7.39	1.27	1.48	4.00	4.50	2.70	3.00	52.70	57.50	59.40	65.00			9.20	10.30	18.70		225.50	234.20	8.10	7.60	4.84	4.72	1
대한해협	낙동1	2020	11	2020-11-02	구름많음	20	5.0	18.53	18.90	32.50	32.95	8.11	8.07	8.02	6.96	1.22	1.11	5.00	0.40	3.70	8.10	22.20	53.60	30.90	62.00			5.50	13.10	21.90		152.40	255.00	4.20	9.70	5.32	3.66	1
대한해협	낙동4	2020	11	2020-11-02	구름많음	23	5.0	18.60	18.30	32.26	33.29	8.15	8.17	8.40	5.97	1.24	1.03	14.40	6.30	2.50	2.50	14.40	16.40	31.30	25.20			2.80	3.70	19.70		99.90	109.50	6.60	4.90	6.80	6.77	3
대한해협	행암만1	2020	11	2020-11-02	구름조금	7	2.9	18.18	18.17	31.78	31.78	8.11	8.13	9.24	9.39	1.40	1.86	13.70	12.50	13.70	13.30	36.30	35.10	63.60	60.90			8.00	7.90	31.20		238.00	235.30	3.70	4.70	11.02	10.32	2
대한해협	행암만2	2020	11	2020-11-02	맑음	5	2.3	18.33	18.22	31.68	31.81	8.11	8.09	7.97	7.68	1.89	1.50	32.60	45.10	26.10	26.10	71.50	69.90	130.30	141.10			13.30	14.30	39.60		390.50	396.40	5.40	4.50	15.16	14.44	2
대한해협	행암만3	2020	11	2020-11-02	맑음	3	1.5	18.38	18.38	31.68	31.68	8.08	8.10	7.69	8.01	2.43	2.35	73.30	54.90	26.30	25.00	78.70	72.90	178.30	152.80			17.10	14.90	53.20		449.90	405.20	8.50	11.90	15.68	16.40	3
대한해협	행암만4	2020	11	2020-11-02	맑음	2	1.5	18.49	18.29	31.63	31.78	8.07	8.07	7.69	7.57	2.54	2.57	63.40	66.00	26.90	26.80	74.40	76.00	164.70	168.70			13.70	12.70	51.80		412.00	414.50	10.60	10.50	19.84	18.16	3
대한해협	마산만1	2020	11	2020-11-03	맑음	6	2.6	17.67	17.67	31.23	31.25	7.94	7.96	5.79	5.84	1.27	1.68	178.60	174.70	40.90	41.00	96.30	100.00	315.80	315.70			41.00	40.40	57.10		966.10	956.90	7.70	3.20	2.21	2.14	4
대한해협	마산만2	2020	11	2020-11-03	맑음	14	5.0	17.75	17.75	31.55	31.55	8.03	8.04	6.76	6.88	1.22	1.47	105.70	104.10	34.40	34.60	77.90	79.80	218.00	218.50			29.90	30.20	43.90		703.70	702.50	3.50	3.40	3.68	3.40	2
대한해협	마산만3	2020	11	2020-11-03	맑음	12	3.0	17.74	17.82	31.44	31.49	7.98	8.00	6.58	6.55	1.35	1.52	130.30	127.30	37.20	36.60	87.30	84.70	254.80	248.70			34.10	33.20	49.40		812.90	777.60	3.20	4.70	3.16	3.06	3
대한해협	마산만4	2020	11	2020-11-03	맑음	12	3.0	17.67	17.71	31.34	31.36	7.93	7.97	6.15	6.05	1.22	1.58	157.90	153.50	40.60	40.50	102.00	98.50	300.40	292.50			37.90	38.30	55.00		923.10	914.20	9.70	5.20	3.09	2.99	4
대한해협	마산만5	2020	11	2020-11-03	맑음	24	4.5	17.80	17.81	31.60	31.60	8.03	8.04	6.95	6.79	1.27	1.62	92.30	98.20	32.90	32.70	76.00	75.90	201.20	206.80			29.30	29.50	41.90		666.30	656.50	3.20	2.60	3.56	3.88	2
대한해협	마산만6	2020	11	2020-11-03	맑음	13	3.0	17.83	17.84	31.62	31.62	8.09	8.10	7.60	7.61	1.39	1.71	63.20	82.90	29.00	29.00	83.10	82.30	175.40	194.10			23.50	23.70	41.90		491.00	487.10	2.80	4.60	4.84	4.80	1
대한해협	마산만7	2020	11	2020-11-03	맑음	10	2.5	18.13	18.23	31.89	31.99	8.17	8.16	7.55	7.59	1.27	1.66	37.40	44.50	12.10	11.40	50.30	48.40	99.80	104.20			19.10	18.90	33.40		256.30	246.30	5.50	8.00	4.16	3.75	1
대한해협	마산만8	2020	11	2020-11-03	맑음	38	3.0	18.13	18.36	31.69	32.54	8.20	8.18	8.24	7.07	1.34	1.60	16.20	18.70	5.40	8.20	23.70	51.40	45.30	78.30			13.70	15.90	30.20		126.40	219.40	4.80	11.00	2.06	4.26	1
대한해협	마산만9	2020	11	2020-11-03	맑음	5	2.6	17.61	17.61	31.24	31.24	7.97	7.92	5.29	6.90	1.50	1.70	191.60	179.40	41.20	41.30	106.60	109.00	339.50	329.70			43.30	43.60	61.60		1051.50	1047.50	5.50	4.80	2.67	3.66	3
대한해협	마산만10	2020	11	2020-11-03	맑음	6	3.5	17.60	17.65	31.11	31.17	7.88	7.90	5.35	6.88	1.52	1.76	176.20	199.30	41.30	41.50	105.90	111.60	323.40	352.40			43.60	43.60	61.10		1053.10	1051.40	5.70	9.00	4.14	2.19	3
대한해협	마산만11	2020	11	2020-11-03	맑음	6	2.5	17.93	18.17	31.24	31.38	7.81	7.84	3.98	5.20	1.40	1.96	282.30	280.70	40.00	40.50	83.60	87.70	405.90	408.90			62.40	60.90	80.20		1214.30	1199.10	6.70	11.80	2.89	1.60	5
대한해협	마산만12	2020	11	2020-11-03	맑음	4	2.5	17.72	17.68	31.17	31.15	7.84	7.89	5.57	6.64	1.35	1.79	177.80	207.80	41.00	41.20	105.60	107.20	324.40	356.10			45.00	44.70	64.60		1035.10	1037.00	5.70	5.00	1.47	2.52	3
대한해협	마산만13	2020	11	2020-11-03	맑음	2	2.3	17.85	17.85	31.23	31.23	7.91	7.92	6.03	5.51	1.32	1.71	190.40	198.30	40.90	41.70	102.10	106.30	333.40	346.20			43.40	43.80	59.50		993.40	994.20	6.30	3.80	2.44	1.56	4
대한해협	마산만14	2020	11	2020-11-03	맑음	8	2.6	18.00	18.00	31.37	31.37	7.95	7.95	5.41	5.28	1.27	1.71	187.60	193.40	41.50	41.60	87.70	88.70	316.90	323.70			41.40	41.70	57.20		964.80	961.60	5.00	6.30	1.43	1.61	4
대한해협	마산만15	2020	11	2020-11-03	맑음	10	2.8	17.96	18.12	31.37	31.45	7.93	7.95	5.61	5.54	1.88	1.63	179.80	174.90	41.30	41.10	88.10	86.90	309.30	303.00			39.70	39.60	55.40		932.20	923.40	4.30	3.20	1.79	1.47	4
대한해협	진해만1	2020	11	2020-11-14	맑음	21	3.0	16.73	16.72	32.30	32.50	8.18	8.20	7.90	7.69	1.19	1.27	24.60	24.20	9.70	9.90	45.10	50.10	79.40	84.20			16.50	15.90	32.00		245.70	229.80	7.10	11.90	0.59	3.94	1
대한해협	진해만2	2020	11	2020-11-03	맑음	12	4.0	17.78	17.77	31.60	31.61	8.09	8.10	7.70	7.61	1.46	1.36	65.80	62.30	29.00	29.10	90.90	90.20	185.70	181.70			22.80	23.20	41.30		465.90	463.60	4.70	3.70	6.12	4.96	1
대한해협	진해만3	2020	11	2020-11-04	맑음	12	4.0	17.46	17.68	31.45	31.53	8.02	8.05	6.98	6.96	1.62	1.59	46.60	39.00	16.20	17.80	35.60	37.60	98.50	94.40			25.80	25.30	45.40		602.30	577.80	3.40	3.00	2.32	4.34	2
대한해협	진해만4	2020	11	2020-11-04	맑음	4	2.5	17.46	17.46	30.94	30.95	8.11	8.12	8.62	8.66	1.95	1.99	7.00	9.20	2.10	2.20	5.40	4.90	14.50	16.30			15.60	15.30	38.40		333.00	325.20	5.00	4.80	3.88	4.62	1
대한해협	진해만5	2020	11	2020-11-04	맑음	10	5.5	17.94	17.89	30.95	30.95	8.02	8.04	7.86	7.92	1.49	1.72	13.00	8.00	2.10	2.40	3.70	4.20	18.70	14.60			11.00	11.00	26.70		183.70	179.60	3.20	2.90	4.76	4.30	1
대한해협	진해만6	2020	11	2020-11-04	맑음	11	3.0	17.95	17.94	31.04	31.12	8.09	8.09	7.62	7.48	1.72	1.73	61.90	49.40	16.70	15.50	55.50	49.70	134.00	114.60			26.00	24.70	52.20		304.00	279.00	4.00	3.60	5.52	5.64	1
대한해협	진해만7	2020	11	2020-11-04	맑음	17	5.5	17.91	18.75	31.45	32.14	8.12	8.03	8.41	6.14	1.62	1.31	5.20	47.30	5.00	20.90	8.80	55.00	19.00	123.20			13.20	34.00	33.10		187.10	569.30	6.10	3.60	5.56	3.62	3
대한해협	진해만8	2020	11	2020-11-04	맑음	23	7.5	17.90	18.27	31.42	31.91	8.17	8.08	8.46	7.05	1.56	1.38	19.60	36.60	4.10	11.00	10.80	34.60	34.50	82.30			11.00	23.70	28.60		112.40	335.50	3.10	3.30	1.74	3.42	1
대한해협	진해만9	2020	11	2020-11-04	맑음	21	6.5	18.01	19.25	31.28	32.34	8.11	7.94	8.07	4.32	1.69	1.07	16.80	64.30	5.50	38.20	6.30	73.40	28.60	175.90			10.20	35.10	32.30		192.30	922.70	3.90	2.60	1.41	2.28	4
대한해협	진해만10	2020	11	2020-11-03	맑음	20	4.0	18.27	18.49	31.33	31.80	8.14	8.14	8.05	7.39	1.17	1.21	35.10	40.00	4.70	6.60	16.50	28.10	56.30	74.70			15.80	20.80	31.70		158.60	235.70	3.70	5.20	2.36	2.50	1
대한해협	진해만11	2020	11	2020-11-04	맑음	13	3.0	17.82	17.83	31.60	31.60	8.15	8.16	8.34	8.37	1.86	1.85	12.90	8.60	4.50	4.60	18.00	19.40	35.40	32.70			10.50	10.80	35.10		175.10	177.80	3.80	4.60	6.98	6.54	2
대한해협	진해만12	2020	11	2020-11-04	맑음	17	6.0	17.96	18.62	31.19	31.66	8.15	8.06	8.58	7.64	1.93	1.72	5.40	22.90	1.10	4.30	2.50	12.50	9.00	39.70			8.10	13.10	25.90		107.00	265.20	3.50	3.10	3.62	3.96	1
대한해협	진해만13	2020	11	2020-11-04	맑음	20	8.0	18.07	18.96	31.16	32.35	8.18	8.01	8.35	5.44	1.72	1.46	13.80	70.20	4.30	24.00	7.90	56.30	26.00	150.50			13.10	34.60	27.20		98.50	531.60	2.80	3.30	2.20	2.10	3
대한해협	진주만1	2020	11	2020-11-12	맑음	11	3.5	16.48	16.12	31.90	31.83	8.19	8.21	8.15	7.91	0.88	0.82	20.50	27.10	7.00	7.40	45.20	48.90	72.60	83.40			18.50	19.90	35.30		411.90	425.00	14.60	10.30	4.50	4.12	1
대한해협	진주만2	2020	11	2020-11-12	맑음	4	1.3	14.84	14.70	31.67	31.63	7.97	8.32	8.64	9.04	1.35	1.53	3.20	8.30	0.10	0.20	1.40	1.10	4.60	9.70			11.40	12.70	38.70		272.90	275.90	32.60	19.20	3.64	3.77	2
대한해협	광양만1	2020	11	2020-11-10	맑음	10	2.0	15.33	15.65	31.02	31.40	8.04	8.07	8.36	8.21	1.83	1.91	67.10	70.10	22.00	21.70	119.50	96.60	208.60	188.30			37.50	33.50	58.10		644.10	605.90	6.10	21.60	4.04	3.00	2
대한해협	광양만2	2020	11	2020-11-12	맑음	11	2.8	16.22	15.99	31.41	31.41	8.12	8.14	8.13	8.17	1.81	1.75	51.60	61.90	19.30	21.60	74.20	83.50	145.00	167.00			24.90	28.60	44.40		478.50	532.30	5.10	6.20	3.24	3.00	1
대한해협	광양만3	2020	11	2020-11-12	맑음	4	2.5	16.53	16.52	31.39	31.39	8.13	8.16	8.05	7.91	1.73	1.68	54.70	55.40	21.50	22.10	83.10	83.90	159.30	161.40			26.10	26.60	44.90		515.50	516.10	14.60	9.30	2.94	2.88	1
대한해협	광양만4	2020	11	2020-11-12	맑음	4	2.5	17.39	17.46	31.79	31.79	8.17	8.20	7.78	8.05	1.58	1.92	62.80	62.30	11.90	13.20	47.90	51.40	122.70	126.90			19.50	22.10	38.30		365.50	390.20	13.50	10.40	3.10	2.62	1
대한해협	광양만5	2020	11	2020-11-12	맑음	35	3.0	17.08	17.32	31.77	32.36	8.06	8.14	7.62	7.66	1.52	1.65	41.80	23.20	13.70	10.80	55.10	42.60	110.50	76.60			18.30	13.40	34.00		381.80	357.90	15.30	15.10	2.18	2.00	1
대한해협	광양만6	2020	11	2020-11-12	맑음	12	3.8	17.15	17.40	31.73	32.14	8.08	8.12	7.61	7.45	1.37	1.73	44.60	42.10	14.40	13.10	57.00	47.20	115.90	102.30			18.70	18.00	32.50		413.90	396.90	11.00	16.00	2.20	1.96	1
대한해협	광양만7	2020	11	2020-11-12	맑음	3	2.3	17.11	17.17	30.80	31.27	8.14	8.16	7.94	7.85	1.91	2.05	58.30	59.30	15.20	15.80	102.10	110.40	175.60	185.50			21.00	21.80	36.30		491.20	500.20	28.10	8.60	3.38	3.51	1
대한해협	광양만8	2020	11	2020-11-12	맑음	16	2.5	17.30	17.28	31.71	31.71	8.12	8.11	7.50	7.20	1.60	1.66	53.00	52.30	17.50	17.90	63.20	62.90	133.60	133.20			22.20	23.30	39.60		450.70	453.70	9.10	10.70	2.32	2.04	1
대한해협	광양만9	2020	11	2020-11-12	맑음	14	3.5	16.90	16.86	31.52	31.51	8.14	8.18	8.07	8.17	1.79	1.70	51.10	48.00	21.40	21.80	76.40	77.00	148.90	146.80			23.30	24.30	42.50		485.50	490.00	6.90	6.20	3.54	4.32	1
대한해협	광양만10	2020	11	2020-11-10	맑음	5	2.5	16.34	16.34	31.27	31.30	8.03	8.08	6.31	6.04	1.81	2.01	70.40	61.90	20.80	20.90	105.30	104.40	196.40	187.20			34.10	34.80	51.20		597.10	590.20	13.60	14.90	2.42	2.70	3
대한해협	광양만11	2020	11	2020-11-12	맑음	15	2.5	17.12	17.08	31.53	31.54	8.14	8.13	8.13	8.14	1.70	1.83	54.20	56.70	21.30	21.80	77.30	76.50	152.70	155.00			23.80	25.10	41.10		487.40	495.10	6.00	8.90	3.12	2.98	1
대한해협	광양만12	2020	11	2020-11-12	맑음	19	2.8	16.70	16.56	31.62	31.60	8.15	8.17	7.56	7.59	1.92	1.68	69.10	67.40	10.90	11.20	49.80	49.30	129.80	127.90			21.00	22.00	39.70		363.90	358.50	13.50	17.80	4.38	4.04	1
대한해협	섬진강하구1	2020	11	2020-11-12	맑음	2	2.0	14.02	14.02	9.83	9.83	7.78	7.76	10.03	10.03	1.77	1.67	21.30	25.20	9.20	9.30	875.80	868.10	906.30	902.60			9.90	9.80	19.00		1813.20	1761.40	5.90	3.80	4.08	3.50	3
대한해협	섬진강하구2	2020	11	2020-11-12	맑음	3	2.0	14.41	14.41	13.07	13.07	7.84	7.82	9.55	9.47	2.42	2.81	24.60	37.50	10.40	10.60	778.80	771.50	813.90	819.60			12.20	12.20	24.00		1776.70	1690.60	11.00	20.50	3.84	5.40	3
대한해협	섬진강하구3	2020	11	2020-11-12	맑음	9	3.0	14.78	15.47	16.14	21.52	7.85	7.86	9.17	8.06	2.41	2.52	41.30	69.40	11.70	15.00	698.40	464.00	751.30	548.40			14.80	18.20	24.50		1627.20	1248.00	6.10	9.50	2.64	5.16	2
대한해협	섬진강하구4	2020	11	2020-11-12	맑음	5	2.5	15.49	15.60	22.11	22.82	7.86	7.94	8.93	8.14	2.23	2.46	41.60	57.00	12.90	15.50	611.90	411.10	666.30	483.50			15.80	18.00	26.30		1522.60	1131.70	3.60	11.10	2.46	5.52	2
대한해협	섬진강하구5	2020	11	2020-11-12	맑음	7	2.8	15.53	15.59	21.67	23.08	7.94	7.96	8.52	8.34	2.16	2.49	60.10	48.80	14.40	15.50	478.90	400.00	553.50	464.30			17.20	17.40	27.50		1334.80	1095.60	5.00	11.60	3.76	5.36	2
대한해협	섬진강하구6	2020	11	2020-11-12	맑음	5	2.5	15.56	15.58	23.07	24.26	7.98	7.98	8.63	8.29	2.18	1.97	88.70	51.00	15.10	15.70	442.40	364.20	546.30	430.90			18.00	18.00	29.70		1285.80	1020.80	7.30	4.10	3.84	4.44	2
대한해협	섬진강하구7	2020	11	2020-11-12	맑음	1	1.3	15.68	15.68	25.09	25.09	8.01	8.02	8.67	8.69	2.16	2.46	78.00	63.80	15.90	16.00	356.10	339.40	450.00	419.20			18.80	18.10	36.00		1031.60	971.40	7.50	4.50	4.04	4.40	3
